admin(basemap),Coun_FID,Country,Tobacco,Life,PM,Diadetes,Water
Poland,POL,Poland,0.767701353,76.84878049,97.40914538,5.63,96.5
Portugal,PRT,Portugal,0.481351784,80.37317073,37.39485039,9.59,100
Puerto Rico,PRI,Puerto Rico,0,78.71119512,Nodata,12.98,Nodata
Qatar,QAT,Qatar,1.429829972,78.4184878,100,19.78,100
Republic of Serbia,SRB,Serbia,0.406796171,75.13658537,97.42724574,9.75,99
Romania,ROU,Romania,1.856011844,74.46341463,98.61990042,7.99,100
Russia,RUS,Russian Federation,0.036729349,71.07317073,73.21227512,5.03,90.8
Rwanda,RWA,Rwanda,0.37048765,63.39482927,98.20892882,6.25,70.7
Saudi Arabia,SAU,Saudi Arabia,0.34763184,74.17763415,99.99032973,23.9,97
Senegal,SEN,Senegal,1.133939326,65.8787561,100,5.14,65.2
Sierra Leone,SLE,Sierra Leone,0.449548196,50.36312195,100,3.76,45.6
Slovakia,SVK,Slovak Republic,1.819241102,76.26097561,96.86140097,7.21,100
Slovenia,SVN,Slovenia,0.018226698,80.27804878,95.42852438,7.17,99.4
Solomon Islands,SLB,Solomon Islands,0.080481704,67.71892683,0.687056805,16.12,77.2
Somalia,SOM,Somalia,0.872522114,55.02302439,28.83233141,7.29,Nodata
Somaliland,SOL,Somaliland,Nodata,Nodata,Nodata,Nodata,Nodata
South Africa,ZAF,South Africa,0.274904417,56.73658537,68.75542047,9.36,80
South Sudan,SDS,South Sudan,0.037398536,55.22090244,99.6538834,10.08,56.9
Spain,ESP,Spain,0.222445744,82.42682927,69.59414787,7.85,100
Sri Lanka,LKA,Sri Lanka,0,74.24029268,98.56321285,7.8,93.6
Sudan,SDN,Sudan,0.054666297,63.16704878,100,17.91,50.2
Suriname,SUR,Suriname,0.294635059,70.99,74.9288269,10.83,88.4
Swaziland,SWZ,Swaziland,0.573292437,48.93792683,74.38826669,4.33,68.9
Sweden,SWE,Sweden,1.127171578,81.70487805,12.35327098,4.51,100
Switzerland,CHE,Switzerland,0.316400855,82.74878049,96.30834599,5.63,100
Syria,SYR,Syrian Arab Republic,0.367735019,74.71578049,100,8.79,87.2
Taiwan,TWN,"Taiwan, China",0.247936906,75.35302439,99.5699729,8.64,Nodata
Tajikistan,TJK,Tajikistan,0.617610495,69.40017073,98.46768427,6.44,65.4
Thailand,THA,Thailand,0,74.24692683,92.02013441,7.36,97.4
Togo,TGO,Togo,0.055928782,59.13236585,100,4.72,43.5
Trinidad and Tobago,TTO,Trinidad and Tobago,1.123446212,70.30529268,34.76328438,13.09,95.1
Tunisia,TUN,Tunisia,1.090642294,73.64634146,99.67228011,9.41,92
Turkey,TUR,Turkey,0.638141401,75.17595122,97.63689659,14.84,99.2
Turkmenistan,TKM,Turkmenistan,0,65.45656098,100,5.01,Nodata
Uganda,UGA,Uganda,1.278807772,57.76768293,99.45074872,5.19,74.2
Ukraine,UKR,Ukraine,0.57086405,71.1595122,97.76054444,2.58,97.1
United Arab Emirates,ARE,United Arab Emirates,0.028340377,77.19563415,99.82835733,19.02,100
United Kingdom,GBR,United Kingdom,0.069760928,80.95609756,68.00463035,3.9,100
United Republic of Tanzania,TZA,Tanzania,0.747053166,64.29182927,29.46354368,9.15,45.5
United States of America,USA,United States,0.783127127,78.84146341,50.21139999,9.39,98.2
Uruguay,URY,Uruguay,0.395192346,76.83619512,0,5.76,91.6
Uzbekistan,UZB,Uzbekistan,0.052569054,68.22758537,99.96980459,6.43,Nodata
Vanuatu,VUT,Vanuatu,0.390052721,71.6692439,0.900936989,23.71,89.9
Venezuela,VEN,"Venezuela, RB",0.838414319,74.07441463,77.88443942,6.86,77.9
Vietnam,VNM,Vietnam,0,75.7564878,96.86483591,5.71,93.6
Western Sahara,SAH,Sub-Saharan Africa (all income levels),0,58.0773024,82.1616667,6.274119967,54.09816149
Yemen,YEM,"Yemen, Rep.",0.113520181,63.5835122,100,8.25,Nodata
Zambia,ZMB,Zambia,0.092120023,59.23736585,71.74383144,5.04,49.1
Zimbabwe,ZWE,Zimbabwe,0,55.633,27.1973398,9.34,67.6
